time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180506:0510,617.37,218.26,82.89,1.09,9.25,9.84,2.41,0
20180506:0610,1171.11,446.51,117.43,2.66,18.47,11.25,2.07,0
20180506:0710,1487.13,584.07,146.74,4.19,27.79,13.94,2.34,0
20180506:0810,1726.5,723.89,144,5.69,36.81,16.15,2.48,0
20180506:0910,1823.05,782.27,147.17,6.87,44.95,18.16,2.69,0
20180506:1010,1819.48,794.38,139.53,7.72,51.33,19.91,2.83,0
20180506:1110,1730.32,775.06,112.36,8.24,54.79,21.37,2.97,0
20180506:1210,1517.61,672.19,101.57,8.18,54.37,22.5,3.03,0
20180506:1310,1212.89,526.07,91.51,7.65,50.2,23.25,3.17,0
20180506:1410,824.1,348.31,85.73,6.67,43.37,23.64,3.38,0
20180506:1510,395.78,172.47,73.26,5.36,34.99,23.65,3.66,0
20180506:1610,76.78,21.69,46.87,3.9,25.86,23.36,3.66,0
20180506:1710,105.67,0,68.29,0.69,16.53,22.62,3.03,0
20180506:1810,47,0,36.92,0.37,7.39,21.15,2.9,0
20180506:1910,0,0,0,0,0,19.72,3.31,0
20180506:2010,0,0,0,0,0,18.44,3.45,0
20180506:2110,0,0,0,0,0,17.45,3.38,0
20180506:2210,0,0,0,0,0,16.54,3.17,0
20180506:2310,0,0,0,0,0,15.66,2.9,0
20180507:0010,0,0,0,0,0,14.73,2.62,0
20180507:0110,0,0,0,0,0,13.81,2.55,0
20180507:0210,0,0,0,0,0,13.02,2.55,0
20180507:0310,0,0,0,0,0,12.33,2.55,0
20180507:0410,0,0,0,0,0,11.74,2.48,0
20180507:0510,627.32,223.8,84.37,1.12,9.48,11.67,2.41,0
20180507:0610,1142.16,430.31,124.29,2.66,18.69,13.09,2.07,0
20180507:0710,1461.81,569.56,154.79,4.19,28.02,15.58,2.28,0
20180507:0810,1695.45,702.86,156.8,5.67,37.04,17.66,2.34,0
