time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160525:1411,661.89,32.66,292.57,8.08,45.9,15.94,2.14,0
20160525:1511,553.66,29.4,245.36,6.9,37.39,15.96,2,0
20160525:1611,471.1,42.69,196.02,6.24,28.31,15.8,1.93,0
20160525:1711,256.13,24.55,120.95,4.68,19.16,15.5,1.93,0
20160525:1811,90.45,0,57.62,1.58,10.31,15.06,1.72,0
20160525:1911,0,0,0,0,0,14.5,1.24,0
20160525:2011,0,0,0,0,0,13.99,1.17,0
20160525:2111,0,0,0,0,0,13.56,1.03,0
20160525:2211,0,0,0,0,0,13.13,1.03,0
20160525:2311,0,0,0,0,0,12.72,0.97,0
20160526:0011,0,0,0,0,0,12.37,0.9,0
20160526:0111,0,0,0,0,0,11.79,1.03,0
20160526:0211,0,0,0,0,0,11.7,0.76,0
20160526:0311,0,0,0,0,0,12.21,0.48,0
20160526:0411,10.56,0,13.99,0.38,5.35,12.02,0.34,0
20160526:0511,146.64,4.76,82.32,3.05,13.83,12,0.21,0
20160526:0611,448.43,119.26,121.6,7.04,22.84,13.35,0.21,0
20160526:0711,905.55,293.83,154.15,10.75,32.01,14.39,0.62,0
20160526:0811,1226.98,388.77,221.91,13.3,40.94,15.55,0.48,0
20160526:0911,1187.23,251.06,342.44,13.03,49.05,16.6,0.55,0
20160526:1011,1542.09,448.88,336.42,16.2,55.41,17.28,0.97,0
20160526:1111,1479.02,366.72,383.87,15.79,58.7,17.66,1.1,0
20160526:1211,938.98,85.9,380.79,11.11,57.88,17.86,1.1,0
20160526:1311,872.56,76.75,356.75,10.41,53.23,18.11,1.17,0
20160526:1411,1249,342.6,284.82,13.84,46.06,18.49,0.97,0
20160526:1511,490.2,17.03,231.8,6.29,37.54,18.59,1.31,0
20160526:1611,604.67,142.14,169.55,8.51,28.46,18.81,1.52,0
20160526:1711,252.71,29.23,118.04,4.91,19.31,18.47,2,0
20160526:1811,89.18,0,57.62,1.58,10.46,17.88,2.07,0
20160526:1911,0,0,0,0,0,16.79,2.41,0
20160526:2011,0,0,0,0,0,15.52,2.83,0
20160526:2111,0,0,0,0,0,14.51,2.9,0
20160526:2211,0,0,0,0,0,13.63,2.83,0
20160526:2311,0,0,0,0,0,12.97,2.69,0
20160527:0011,0,0,0,0,0,12.62,2.62,0
20160527:0111,0,0,0,0,0,12.33,2.62,0
20160527:0211,0,0,0,0,0,12.22,2.62,0
20160527:0311,0,0,0,0,0,12.09,2.55,0
20160527:0411,32.46,0,27.16,0.75,5.47,12.11,2.62,0
20160527:0511,23.54,0,22.16,0.57,13.95,12.61,2.48,0
20160527:0611,168.94,0,94.83,2.42,22.95,13.72,2.9,0
20160527:0711,228.11,0,122.3,3.12,32.12,13.83,2.97,0
20160527:0811,209.44,0,114.32,2.92,41.06,15.19,2.97,0
20160527:0911,234.51,0,126.73,3.23,49.18,16.61,2.9,0
20160527:1011,181.91,0,102.8,2.62,55.56,18.29,2.9,0
20160527:1111,175.53,0,100.14,2.56,58.87,19.11,2.62,0
20160527:1211,234.68,0,128.5,3.28,58.05,19.59,2.48,0
20160527:1311,509.62,3.33,255.56,6.58,53.4,20.31,2.55,0
20160527:1411,733.06,55.57,310.43,8.96,46.21,20.75,2.62,0
20160527:1511,1012.58,292.45,211.57,11.97,37.69,20.94,2.69,0
20160527:1611,660.72,226.65,117.64,9.75,28.6,20.75,2.69,0
20160527:1711,217.87,5.46,117.41,3.35,19.45,20.41,2.97,0
20160527:1811,44.32,0,34.57,0.95,10.61,19.62,2.21,0
20160527:1911,0,0,2.47,0.07,2.43,17.84,2,0
20160527:2011,0,0,0,0,0,16.63,2.28,0
20160527:2111,0,0,0,0,0,15.61,2.28,0
20160527:2211,0,0,0,0,0,15.08,2.28,0
20160527:2311,0,0,0,0,0,14.45,2.34,0
20160528:0011,0,0,0,0,0,13.83,2.34,0
20160528:0111,0,0,0,0,0,13.34,2.21,0
20160528:0211,0,0,0,0,0,12.96,2.14,0
20160528:0311,0,0,0,0,0,12.55,2.07,0
20160528:0411,29.44,0,25.52,0.7,5.59,12.62,1.93,0
20160528:0511,138.88,1.08,80.23,2.26,14.06,13.2,1.66,0
20160528:0611,52.03,0,38.11,0.97,23.05,14.69,1.72,0
20160528:0711,88.04,0,56.72,1.45,32.23,15.93,1.93,0
20160528:0811,291.38,0,154.2,3.94,41.17,17.78,2,0
20160528:0911,717.46,42.19,315.5,8.78,49.31,19.32,1.86,0
20160528:1011,1070.39,148.56,387.18,12.28,55.7,20.32,1.79,0
20160528:1111,1101.37,152.04,403.09,12.71,59.03,21.45,1.79,0
20160528:1211,866.29,65.01,371.4,10.54,58.22,21.76,1.72,0
20160528:1311,1695.25,666.61,207.16,17.96,53.55,21.61,2,0
20160528:1411,1477.91,578.43,167.42,16.13,46.36,21.73,2.48,0
20160528:1511,803,134.57,266.76,9.75,37.83,21.61,2.9,0
20160528:1611,659.38,218.52,124.81,9.7,28.74,21.28,3.1,0
20160528:1711,152.57,0.39,89.44,2.31,19.59,20.67,2.76,0
20160528:1811,54.83,0,40.33,1.11,10.76,20.03,1.72,0
20160528:1911,0,0,3.29,0.09,2.58,19.46,2.62,0
20160528:2011,0,0,0,0,0,18.15,2.48,0
20160528:2111,0,0,0,0,0,17.4,2.76,0
20160528:2211,0,0,0,0,0,16.85,2.97,0
20160528:2311,0,0,0,0,0,16.34,2.9,0
20160529:0011,0,0,0,0,0,15.79,2.83,0
20160529:0111,0,0,0,0,0,15.45,2.76,0
20160529:0211,0,0,0,0,0,15.19,2.83,0
20160529:0311,0,0,0,0,0,14.96,2.9,0
20160529:0411,0,0,4.12,0.11,5.7,14.7,2.9,0
20160529:0511,122.54,0.41,73.12,1.95,14.16,14.96,3.1,0
20160529:0611,295.32,11.63,144.33,4.07,23.15,15.83,3.03,0
20160529:0711,130.72,0,77.99,1.99,32.33,17.6,3.66,0
20160529:0811,211.52,0,116.98,2.99,41.28,19.03,4.34,0
20160529:0911,272.7,0,146.23,3.73,49.42,20.04,4.83,0
20160529:1011,177.3,0,101.03,2.58,55.84,19.73,4.83,0
20160529:1111,404.61,0,206.49,5.27,59.19,18.51,4.83,0
